State,Year of Year,Death Penalty Status,Region,Year,Calculated Murder Rate,Murder Rate,Number of Murders,Number of Records,Population
x-United States,1987,Region,United States,01.01.1987,8.256.402.039,08.mar,20096,1,243399000
x-United States,1988,Region,United States,01.01.1988,8.410.967.821,08.apr,20675,1,245810000
x-United States,1989,Region,United States,01.01.1989,8.660.868.584,08.jul,21500,1,248243000
x-United States,1990,Region,United States,01.01.1990,9.423.831.759,09.apr,23438,1,248709873
x-United States,1991,Region,United States,01.01.1991,9.795.741.947,09.aug,24703,1,252181000
x-United States,1992,Region,United States,01.01.1992,9.314.688.275,09.mar,23760,1,255081000
x-United States,1993,Region,United States,01.01.1993,9.509.740.058,09.maj,24526,1,257904000
x-United States,1994,Region,United States,01.01.1994,8.959.787.356,9,23326,1,260341000
x-United States,1995,Region,United States,01.01.1995,8.222.900.508,08.feb,21606,1,262754000
x-United States,1996,Region,United States,01.01.1996,7.405.271.332,07.apr,19645,1,265284000
x-United States,1997,Region,United States,01.01.1997,6.804.365.615,06.aug,18211,1,267637000
x-United States,1998,Region,United States,01.01.1998,6.279.782.165,06.mar,16974,1,270296000
x-United States,1999,Region,United States,01.01.1999,5.692.160.960,05.jul,15522,1,272690813
x-United States,2000,Region,United States,01.01.2000,5.538.303.759,05.maj,15586,1,281421906
x-United States,2001,Region,United States,01.01.2001,5.620.754.662,05.jun,16037,1,285317559
x-United States,2002,Region,United States,01.01.2002,5.635.579.699,05.jun,16229,1,287973924
x-United States,2003,Region,United States,01.01.2003,5.683.846.832,05.jul,16528,1,290788976
x-United States,2004,Region,United States,01.01.2004,5.498.935.387,05.maj,16148,1,293656842
x-United States,2005,Region,United States,01.01.2005,5.645.734.015,05.jun,16740,1,296507061
x-United States,2006,Region,United States,01.01.2006,5.781.258.398,05.aug,17309,1,299398484
x-United States,2007,Region,United States,01.01.2007,5.678.646.740,05.jul,17128,1,301621157
x-United States,2008,Region,United States,01.01.2008,5.415.054.577,05.apr,16465,1,304059724
x-United States,2009,Region,United States,01.01.2009,5.015.853.896,5,15399,1,307006550
x-United States,2010,Region,United States,01.01.2010,4.759.315.158,04.aug,14722,1,309330219
x-United States,2011,Region,United States,01.01.2011,4.705.254.585,04.jul,14661,1,311587816
x-United States,2012,Region,United States,01.01.2012,4.736.300.209,04.jul,14866,1,313873685
x-United States,2013,Region,United States,01.01.2013,4.524.205.909,04.maj,14319,1,316497531
x-United States,2014,Region,United States,01.01.2014,4.468.773.619,04.maj,14249,1,318857056
x-United States,2015,Region,United States,01.01.2015,4.949.569.148,04.sep,15883,1,320896618
x-United States,2016,Region,United States,01.01.2016,5.384.254.930,05.apr,17413,1,323405935
x-United States,2017,Region,United States,01.01.2017,5.318.823.044,5.318.823.044,17294,1,325147121
x-United States,2018,Region,United States,01.01.2018,4.955.872.228,4.955.872.228,16214,1,327167434
