State,Year of Year,Death Penalty Status,Region,Year,Calculated Murder Rate,Murder Rate,Number of Murders,Number of Records,Population
Florida,1987,Death Penalty,South,01.01.1987,11.403.143.974,11.apr,1371,1,12023000
Florida,1988,Death Penalty,South,01.01.1988,11.440.575.261,nov.44,1416,1,12377000
Florida,1989,Death Penalty,South,01.01.1989,11.088.311.893,11.sep,1405,1,12671000
Florida,1990,Death Penalty,South,01.01.1990,10.658.586.237,okt.66,1379,1,12937926
Florida,1991,Death Penalty,South,01.01.1991,9.399.713.791,09.apr,1248,1,13277000
Florida,1992,Death Penalty,South,01.01.1992,8.956.109.134,aug.96,1208,1,13488000
Florida,1993,Death Penalty,South,01.01.1993,8.948.022.516,aug.95,1224,1,13679000
Florida,1994,Death Penalty,South,01.01.1994,8.349.458.898,aug.35,1165,1,13953000
Florida,1995,Death Penalty,South,01.01.1995,7.320.344.487,jul.32,1037,1,14166000
Florida,1996,Death Penalty,South,01.01.1996,7.479.166.667,jul.48,1077,1,14400000
Florida,1997,Death Penalty,South,01.01.1997,6.905.964.242,jun.91,1012,1,14654000
Florida,1998,Death Penalty,South,01.01.1998,6.482.971.306,jun.48,967,1,14916000
Florida,1999,Death Penalty,South,01.01.1999,5.684.508.833,maj.68,859,1,15111244
Florida,2000,Death Penalty,South,01.01.2000,5.649.972.739,maj.65,903,1,15982378
Florida,2001,Death Penalty,South,01.01.2001,5.337.948.969,maj.34,874,1,16373330
Florida,2002,Death Penalty,South,01.01.2002,5.457.802.054,maj.46,911,1,16691701
Florida,2003,Death Penalty,South,01.01.2003,5.435.555.984,maj.44,924,1,16999181
Florida,2004,Death Penalty,South,01.01.2004,5.441.337.948,maj.44,946,1,17385430
Florida,2005,Death Penalty,South,01.01.2005,4.969.554.864,apr.97,883,1,17768191
Florida,2006,Death Penalty,South,01.01.2006,6.241.055.777,jun.24,1129,1,18089888
Florida,2007,Death Penalty,South,01.01.2007,6.585.852.810,jun.59,1202,1,18251243
Florida,2008,Death Penalty,South,01.01.2008,6.372.644.768,jun.37,1168,1,18328340
Florida,2009,Death Penalty,South,01.01.2009,5.486.037.872,maj.49,1017,1,18537969
Florida,2010,Death Penalty,South,01.01.2010,5.239.239.216,maj.24,987,1,18838613
Florida,2011,Death Penalty,South,01.01.2011,5.156.621.369,maj.16,984,1,19082262
Florida,2012,Death Penalty,South,01.01.2012,5.222.364.827,maj.22,1009,1,19320749
Florida,2013,Death Penalty,South,01.01.2013,4.959.104.986,apr.96,972,1,19600311
Florida,2014,Death Penalty,South,01.01.2014,5.775.814.839,maj.78,1149,1,19893297
Florida,2015,Death Penalty,South,01.01.2015,5.142.032.216,maj.14,1041,1,20244914
Florida,2016,Death Penalty,South,01.01.2016,5.378.429.130,maj.38,1111,1,20656589
Florida,2017,Death Penalty,South,01.01.2017,5.038.897.236,5.038.897.236,1057,1,20976812
Florida,2018,Death Penalty,South,01.01.2018,5.197.347.803,5.197.347.803,1107,1,21299325
