State,Year of Year,Death Penalty Status,Region,Year,Calculated Murder Rate,Murder Rate,Number of Murders,Number of Records,Population
New York,1987,No Death Penalty,Northeast,01.01.1987,11.309.957.924,nov.31,2016,1,17825000
New York,1988,No Death Penalty,Northeast,01.01.1988,12.537.713.711,dec.54,2244,1,17898000
New York,1989,No Death Penalty,Northeast,01.01.1989,12.512.534.819,dec.51,2246,1,17950000
New York,1990,No Death Penalty,Northeast,01.01.1990,14.479.900.592,14.48,2605,1,17990455
New York,1991,No Death Penalty,Northeast,01.01.1991,14.237.457.083,14.24,2571,1,18058000
New York,1992,No Death Penalty,Northeast,01.01.1992,13.229.206.910,13.23,2397,1,18119000
New York,1993,No Death Penalty,Northeast,01.01.1993,13.298.895.422,13.mar,2420,1,18197000
New York,1994,No Death Penalty,Northeast,01.01.1994,11.095.822.555,11.jan,2016,1,18169000
New York,1995,Death Penalty,Northeast,01.01.1995,8.546.537.274,aug.55,1550,1,18136000
New York,1996,Death Penalty,Northeast,01.01.1996,7.440.197.965,jul.44,1353,1,18185000
New York,1997,Death Penalty,Northeast,01.01.1997,6.026.354.965,06.mar,1093,1,18137000
New York,1998,Death Penalty,Northeast,01.01.1998,5.083.906.465,05.aug,924,1,18175000
New York,1999,Death Penalty,Northeast,01.01.1999,4.962.465.243,apr.96,903,1,18196601
New York,2000,Death Penalty,Northeast,01.01.2000,5.016.742.588,05.feb,952,1,18976457
New York,2001,Death Penalty,Northeast,01.01.2001,5.030.299.696,05.mar,960,1,19084350
New York,2002,Death Penalty,Northeast,01.01.2002,4.750.632.804,apr.75,909,1,19134293
New York,2003,Death Penalty,Northeast,01.01.2003,4.861.437.325,apr.86,934,1,19212425
New York,2004,No Death Penalty,Northeast,01.01.2004,4.610.821.988,apr.61,889,1,19280727
New York,2005,No Death Penalty,Northeast,01.01.2005,4.524.811.681,apr.52,874,1,19315721
New York,2006,No Death Penalty,Northeast,01.01.2006,4.775.672.125,apr.78,922,1,19306183
New York,2007,No Death Penalty,Northeast,01.01.2007,4.171.475.307,apr.17,805,1,19297729
New York,2008,No Death Penalty,Northeast,01.01.2008,4.289.313.806,apr.29,836,1,19490297
New York,2009,No Death Penalty,Northeast,01.01.2009,3.996.632.185,4,781,1,19541453
New York,2010,No Death Penalty,Northeast,01.01.2010,4.475.332.719,apr.48,868,1,19395206
New York,2011,No Death Penalty,Northeast,01.01.2011,3.943.262.958,mar.94,769,1,19501616
New York,2012,No Death Penalty,Northeast,01.01.2012,3.488.943.803,mar.49,683,1,19576125
New York,2013,No Death Penalty,Northeast,01.01.2013,3.269.752.555,mar.27,644,1,19695680
New York,2014,No Death Penalty,Northeast,01.01.2014,3.124.647.559,03.dec,617,1,19746227
New York,2015,No Death Penalty,Northeast,01.01.2015,3.104.240.235,03.jan,613,1,19747183
New York,2016,No Death Penalty,Northeast,01.01.2016,3.170.956.499,mar.17,629,1,19836286
New York,2017,No Death Penalty,Northeast,01.01.2017,2.807.451.835,2.807.451.835,550,1,19590719
New York,2018,No Death Penalty,Northeast,01.01.2018,2.875.826.372,2.875.826.372,562,1,19542209
